month,day,year,home_team,visitor_team,goals_home,goals_visitor
7,9,2023,Paraguay,Peru,0,0
7,9,2023,Colombia,Venezuela,1,0
7,9,2023,Argentina,Ecuador,1,0
7,9,2023,Uruguay,Chile,3,1
7,9,2023,Brasil,Bolivia,5,1
12,9,2023,Bolivia,Argentina,0,3
12,9,2023,Ecuador,Uruguay,2,1
12,9,2023,Venezuela,Paraguay,1,0
12,9,2023,Chile,Colombia,0,0
12,9,2023,Peru,Brasil,0,1
12,10,2023,Colombia,Uruguay,2,2
12,10,2023,Bolivia,Ecuador,1,2
12,10,2023,Argentina,Paraguay,1,0
12,10,2023,Chile,Peru,2,0
12,10,2023,Brasil,Venezuela,1,1
17,10,2023,Venezuela,Chile,3,0
17,10,2023,Paraguay,Bolivia,1,0
17,10,2023,Ecuador,Colombia,0,0
17,10,2023,Uruguay,Brasil,2,0
17,10,2023,Peru,Argentina,0,2
16,11,2023,Bolivia,Peru,2,0
16,11,2023,Venezuela,Ecuador,0,0
16,11,2023,Colombia,Brasil,2,1
16,11,2023,Argentina,Uruguay,0,2
16,11,2023,Chile,Paraguay,0,0
21,11,2023,Paraguay,Colombia,0,1
21,11,2023,Uruguay,Bolivia,3,0
21,11,2023,Ecuador,Chile,1,0
21,11,2023,Brasil,Argentina,0,1
21,11,2023,Peru,Venezuela,1,1
5,6,2024,Argentina,Ecuador,1,0
5,6,2024,Argentina,Guatemala,4,1
5,6,2024,Canada,Netherlands,0,4
5,6,2024,Canada,Francia,0,0
5,6,2024,Chile,Paraguay,3,0
5,6,2024,Peru,Paraguay,0,0
5,6,2024,Peru,Salvado,1,0
5,6,2024,Ecuador,Argentina,0,1
5,6,2024,Ecuador,Bolivia,3,1
5,6,2024,Ecuador,Honduras,2,1
5,6,2024,Mexico,Bolivia,1,0
5,6,2024,Mexico,Uruguay,0,4
5,6,2024,Mexico,Brasil,2,3
5,6,2024,Jamaica,RepublicaDominicana,1,0
5,6,2024,Jamaica,Dominica,3,2
5,6,2024,Uruguay,CostaRica,0,0
5,6,2024,USA,Colombia,1,5
5,6,2024,USA,Brasil,1,1
5,6,2024,Bolivia,Colombia,0,3
5,6,2024,Panama,Paraguay,0,1
5,6,2024,Panama,Guyana,2,0
5,6,2024,Panama,Montserrat,3,0
5,6,2024,CostaRica,SanCrsitobal,4,0
5,6,2024,CostaRica,Grandada,3,0
na,na,na,CostaRica,Panama,0,3
na,na,na,CostaRica,UAE,1,4
na,na,na,Mexico,CostaRica,2,0
na,na,na,Slavador,CostaRica,0,0
na,na,na,Jamaica,Canada,2,1
na,na,na,Jamaica,Canada,3,2
na,na,na,Jamaica,USA,1,3
na,na,na,Jamaica,Panama,1,0
na,na,na,Jamaica,Mexico,0,3
na,na,na,Jamaica,USA,1,1
na,na,na,Jamaica,Catar,1,2
na,na,na,Jamaica,Jordania,1,2
na,na,na,Jamaica,Argentina,0,3
na,na,na,Jamaica,Trinidad,0,1
na,na,na,Jamaica,Camerun,1,1
na,na,na,Jamaica,Marruecos,0,3
na,na,na,Brasil,Inglaterra,1,0
na,na,na,Brasil,España,3,3
na,na,na,Brasil,Corea,4,1
na,na,na,Brasil,Senegal,4,2
na,na,na,Brasil,Marruecos,1,2
na,na,na,Brasil,Guinea,4,1
na,na,na,Brasil,Croacia,1,1
na,na,na,Uruguay,Panama,5,0
na,na,na,Uruguay,Panama,5,0
na,na,na,Uruguay,Iran,0,1
na,na,na,Uruguay,Mexico,3,0
na,na,na,Uruguay,USA,0,0
na,na,na,Uruguay,Canada,2,0
na,na,na,Uruguay,Corea,0,0
na,na,na,Uruguay,Portugal,0,2
na,na,na,Uruguay,Ghana,2,0
na,na,na,Uruguay,Japan,1,1
na,na,na,Uruguay,Core,2,1
na,na,na,Uruguay,Nicaragua,4,1
na,na,na,Uruguay,Cuba,2,0
